MORPHID	MORPHTYPE	FORM	WFID	SGID	SG_LABEL	STRATUM	DEPTH	WF_LABEL	PROVENANCE	ROOTLEMMAS
R516	ROOT_SG	duc	WF299	SG341	duc, duč	BORROWED	0	duc, duč	SG_ROOT	L7433;L7434
R517	ROOT_SG	duč	WF299	SG341	duc, duč	BORROWED	0	duc, duč	SG_ROOT	L7435
R518	ROOT_SG	duc	WF300	SG342	duc		0	duc	SG_ROOT	L7436;L7437;L7438
R519	ROOT_SG	duk	WF301	SG343	duk		0	duk	SG_ROOT	L7439;L7440
R520	ROOT_SG	duk	WF302	SG344	duk	BORROWED	0	duk	SG_ROOT	L7441
R521	ROOT_SG	duk	WF303	SG345	duk		0	duk	SG_ROOT	L7442;L7443;L7444
R522	ROOT_SG	dzelt	WF304	SG346	dzelt, dzēl		0	dzelt, dzēl	SG_ROOT	L7445;L3677;L3680;L7446;L7447;L7448;L1561;L1562;L3699;L3700;L7449;L7450;L7451;L7452;L7453;L7454;L7455;L7456;L7457;L7458;L7459;L7460;L7461;L7462;L7463;L7464;L7465;L7466;L7467;L7468;L7469;L7470;L7471;L7472;L7473;L7474;L7475;L7476;L7477;L7478;L7479;L7480;L7481;L7482;L7483;L7484;L7485;L7486;L7487;L7488;L7489;L7490;L7491;L7492;L7493;L7494;L7495;L7496
R523	ROOT_SG	dzēl	WF304	SG346	dzelt, dzēl		0	dzelt, dzēl	SG_ROOT	L7497
R524	ROOT_SG	dzel	WF305	SG347	dzel, dzēl		0	dzel, dzēl	SG_ROOT	L7498;L7499;L7500;L7501;L7502;L7503;L7504;L7505;L7506;L7507;L7508;L4911;L7509;L7510;L7511;L7512;L7513;L7514;L7515;L7516;L7517;L7518;L7519;L7520
R525	ROOT_SG	dzēl	WF305	SG347	dzel, dzēl		0	dzel, dzēl	SG_ROOT	L7521;L7522;L7523;L7524;L7525
R526	ROOT_SG	dzer	WF306	SG348	dzer, dzēr, dzēs, dzir, dzīr, gar, gār		0	dzer, dzēr, dzēs, dzir, dzīr, gar, gār	SG_ROOT	L7541;L7542;L7543;L7544;L7545;L7546;L7547;L7548;L7549;L7550;L7551;L7552;L7553;L7554;L7555;L7556;L7557;L7558;L7559;L7560;L7561;L7562;L7563;L7564;L7565;L7566;L7567;L7568;L7569;L7570;L7571;L7572;L7573;L7574;L7575;L7576;L7577;L7578;L7579;L7580;L7581;L7582;L7583;L7584;L7585;L7586;L7587
